ID,Kategoria,Wartosc,Data
0,C,129.55917594264665,2025-01-01 00:00:00
1,C,573.1340408783913,2025-01-01 00:01:00
2,B,323.11815399725594,2025-01-01 00:02:00
3,D,918.1558042042465,2025-01-01 00:03:00
4,C,68.37331702271088,2025-01-01 00:04:00
5,A,19.19947914453757,2025-01-01 00:05:00
6,C,860.6908940016932,2025-01-01 00:06:00
7,C,546.7098768346599,2025-01-01 00:07:00
8,D,607.5995479319762,2025-01-01 00:08:00
9,A,232.88384335496826,2025-01-01 00:09:00
10,C,201.07972162681432,2025-01-01 00:10:00
11,A,208.5086909015934,2025-01-01 00:11:00
12,D,793.3752626507257,2025-01-01 00:12:00
13,A,996.2458862585659,2025-01-01 00:13:00
14,C,369.6038202660608,2025-01-01 00:14:00
15,A,204.06009088525533,2025-01-01 00:15:00
16,D,516.4322802054422,2025-01-01 00:16:00
17,C,678.462659195779,2025-01-01 00:17:00
18,A,771.9346048884504,2025-01-01 00:18:00
19,D,14.497272682816087,2025-01-01 00:19:00
20,C,948.0556650218922,2025-01-01 00:20:00
21,C,217.11136538267473,2025-01-01 00:21:00
22,A,411.0610833412047,2025-01-01 00:22:00
23,A,497.1760370409197,2025-01-01 00:23:00
24,D,544.6992820061334,2025-01-01 00:24:00
25,D,772.851406864807,2025-01-01 00:25:00
26,D,288.2418849659282,2025-01-01 00:26:00
27,A,879.7194913929862,2025-01-01 00:27:00
28,D,454.20692481054334,2025-01-01 00:28:00
29,B,609.6942155745096,2025-01-01 00:29:00
30,A,844.015674604412,2025-01-01 00:30:00
31,D,212.52397204026073,2025-01-01 00:31:00
32,A,666.7023481313727,2025-01-01 00:32:00
33,C,714.1448668779402,2025-01-01 00:33:00
34,D,929.1012817198314,2025-01-01 00:34:00
35,D,564.8759826352015,2025-01-01 00:35:00
36,B,559.0304665336844,2025-01-01 00:36:00
37,B,503.28112876954833,2025-01-01 00:37:00
38,A,547.7767729699145,2025-01-01 00:38:00
39,A,919.2775099713548,2025-01-01 00:39:00
